epoch,train_loss,training_time,val_loss
1,4.860188650189813,187.73563861846924,5.786466641770196
2,4.646542754189553,182.61217284202576,5.825659650625642
3,4.6046536580694415,165.44292426109314,5.857308200954162
4,4.070645499473546,163.35364270210266,6.572446975511374
5,3.612411205760448,159.09844160079956,6.829115503842068
6,3.442660984162991,174.10194659233093,6.91925542379163
7,3.3273547629854376,171.60456466674805,7.124000956348537
8,3.230973309136088,170.1857933998108,7.1500777863964595
9,3.143134155452455,170.14280200004578,7.304647737680022
10,3.0677043724385546,171.68964886665344,7.352237464472191
11,2.9991478317833598,175.57820081710815,7.585522808979467
12,2.9381467041302054,153.4873743057251,7.721279722390715
13,2.881355202645572,153.67295598983765,7.877978819424344
14,2.831672209440238,154.7538194656372,8.059303087057527
15,2.783269442551779,155.01316332817078,8.273959981780692
16,2.7344023513305715,165.26889896392822,8.439333640423017
17,2.692038994681713,153.46622705459595,8.578620324675569
18,2.647648131074352,153.535147190094,8.705284084241415
19,2.6080613538266855,153.8179168701172,8.861838714363648
20,2.570316250739244,149.9864764213562,9.056625404554545
21,2.5332899073285047,146.4910852909088,9.08843851777696
22,2.4993374807435904,153.06413912773132,9.303360417946097
23,2.464455759647356,152.75143265724182,9.34046171719266
24,2.430901336832665,153.58955311775208,9.52946524275947
25,2.4008546288102965,154.05620050430298,9.550488220293497
26,2.367991004706243,152.0472412109375,9.684353732079575
27,2.3394838537372418,146.05434775352478,9.804224767389986
28,2.309193371749982,146.06375551223755,9.906373252082117
29,2.2813193190219865,146.34438061714172,9.94266207193591
30,2.256313751907479,146.17181491851807,10.10486176480952
